0.000,0.000,-0.996,0.000,145.085,0.000
1.000,0.003,-0.801,0.002,145.085,29.017
2.000,0.006,-0.597,0.003,145.085,58.034
3.000,0.009,-0.398,0.005,145.085,87.051
4.000,0.012,-0.202,0.007,145.085,116.068
5.000,0.014,0.002,0.009,145.085,145.085
6.000,0.014,0.002,0.008,145.085,145.085
7.000,0.013,0.001,0.009,145.085,145.085
8.000,0.011,0.005,0.009,145.085,145.085
9.000,0.010,0.004,0.006,145.085,145.085
10.000,0.009,-0.002,0.007,143.270,145.085
11.000,0.009,-0.009,0.006,145.085,144.722
12.000,0.009,0.000,0.006,145.085,144.722
13.000,0.010,0.004,0.005,145.085,144.722
14.000,0.012,0.000,0.007,145.085,144.722
15.000,0.013,-0.003,0.005,145.085,144.722
16.000,0.013,0.002,0.007,145.085,145.085
17.000,0.013,0.000,0.007,144.172,145.085
18.000,0.013,0.004,0.008,145.085,144.903
19.000,0.013,-0.004,0.008,144.172,144.903
20.000,0.013,0.001,0.009,145.085,144.720
21.000,0.012,0.000,0.007,144.172,144.720
22.000,0.012,0.000,0.007,145.085,144.537
23.000,0.013,-0.004,0.006,144.172,144.720
24.000,0.013,-0.002,0.006,145.085,144.537
25.000,0.013,0.002,0.006,145.085,144.720
26.000,0.013,0.005,0.006,145.085,144.720
27.000,0.014,0.001,0.006,144.172,144.903
28.000,0.013,-0.003,0.007,144.172,144.720
29.000,0.013,-0.003,0.008,143.270,144.720
30.000,0.013,-0.003,0.008,144.172,144.357
31.000,0.013,-0.002,0.008,144.172,144.174
32.000,0.012,0.003,0.007,144.172,143.992
33.000,0.012,0.003,0.008,144.172,143.992
34.000,0.011,-0.002,0.007,144.172,143.992
35.000,0.010,0.006,0.007,144.172,144.172
36.000,0.008,0.001,0.008,144.172,144.172
37.000,0.010,0.000,0.009,144.172,144.172
38.000,0.011,0.004,0.006,144.172,144.172
39.000,0.010,0.003,0.006,20.078,144.172
40.000,0.015,0.005,0.007,20.158,119.353
41.000,0.020,-0.011,0.009,20.362,94.551
42.000,0.016,0.002,0.005,20.018,69.789
43.000,0.013,-0.002,0.013,15.244,44.958
44.000,0.017,0.006,0.013,19.801,19.172
45.000,0.013,-0.002,0.015,20.868,19.117
46.000,0.021,0.003,0.011,144.172,19.259
47.000,0.023,0.001,0.016,144.172,44.021
48.000,0.028,-0.011,0.009,144.172,68.852
49.000,0.028,0.002,0.007,144.172,94.637
50.000,0.030,-0.001,0.005,144.172,119.511
51.000,0.021,0.003,0.007,144.172,144.172
52.000,0.022,-0.009,0.005,144.172,144.172
53.000,0.019,0.005,0.002,144.172,144.172
54.000,0.016,-0.009,0.008,143.270,144.172
55.000,0.013,0.002,0.007,144.172,143.992
56.000,0.010,0.005,0.008,144.172,143.992
57.000,0.013,0.002,0.007,144.172,143.992
58.000,0.014,0.000,0.010,143.270,143.992
59.000,0.013,-0.003,0.009,143.270,143.811
60.000,0.015,0.000,0.009,143.270,143.811
61.000,0.015,-0.004,0.007,143.270,143.631
62.000,0.013,0.005,0.008,143.270,143.451
63.000,0.013,0.001,0.009,143.270,143.270
64.000,0.016,-0.003,0.009,143.270,143.270
65.000,0.015,0.001,0.005,143.270,143.270
66.000,0.016,0.005,0.007,143.270,143.270
67.000,0.014,-0.009,0.010,144.172,143.270
68.000,0.015,0.002,0.005,144.172,143.451
69.000,0.015,-0.010,0.002,4.911,143.631
70.000,0.014,0.019,0.002,6.134,115.959
71.000,0.018,-0.008,0.005,5.006,88.532
72.000,0.019,0.002,0.002,5.569,60.879
73.000,0.017,-0.003,0.005,6.203,33.158
74.000,0.013,0.002,0.008,5.235,5.565
75.000,0.015,-0.001,0.008,5.601,5.629
76.000,0.007,-0.005,0.003,5.395,5.523
77.000,0.010,0.014,0.002,20.383,5.601
78.000,0.010,0.012,0.010,20.058,8.564
79.000,0.009,-0.019,0.014,20.803,11.334
80.000,0.024,-0.004,0.008,19.840,14.448
81.000,0.022,0.001,0.009,20.138,17.296
82.000,0.022,0.003,0.011,18.319,20.245
83.000,0.021,-0.003,0.003,19.475,19.832
84.000,0.027,0.008,-0.003,19.801,19.715
