x-axis,time,z-axis,y-axis,height,average height
-0.012,0,-0.355,0.061,1032.53,22.138
-0.02,1,0.716,-0.034,103.369,224.21
-0.027,2,-1.143,-0.145,643.555,240.468
0.081,3,-0.491,-0.246,74.773,364.75
0.042,4,0.346,-0.273,58.178,375.27
0.014,5,0.806,-0.279,37.464,382.481
0,6,0.165,-0.055,21.376,183.468
0.081,7,0.797,-0.006,21.421,167.069
0.072,8,-0.341,0.091,20.868,42.642
0.114,9,-0.227,0.081,20.362,31.861
0.164,10,-0.175,0.087,20.321,24.298
0.199,11,-0.091,-0.05,20.697,20.87
0.136,12,-0.052,0.001,20.301,20.734
0.049,13,0.049,-0.004,20.403,20.51
0.058,14,0.008,0.026,20.321,20.417
0.048,15,0.002,0.016,20.342,20.409
0.047,16,-0.005,0.017,20.403,20.413
0.048,17,0.001,0.018,20.342,20.354
